City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
choachi,4.53,-73.92,48.2,93,20,6.93,CO,1597551978
waddan,29.16,16.14,72.37,41,0,0.34,LY,1597551978
seminole,28.71,-81.21,80.6,78,1,4.7,US,1597551978
upernavik,72.79,-56.15,40.82,78,38,12.64,GL,1597551786
birjand,32.87,59.22,82.4,13,0,9.17,IR,1597551979
isangel,-19.55,169.27,75.2,64,90,11.41,VU,1597551979
da nang,16.07,108.22,93.2,49,20,10.29,VN,1597551979
port hardy,50.7,-127.42,69.8,73,20,4.7,CA,1597551794
lajeado,-29.47,-51.96,55.99,97,84,3.71,BR,1597551979
tete,-16.16,33.59,57.2,62,0,1.36,MZ,1597551980
storsteinnes,69.24,19.23,48.2,81,100,27.51,NO,1597551980
yellowknife,62.46,-114.35,57.2,58,75,4.7,CA,1597551730
flin flon,54.77,-101.86,52.79,72,43,9.1,CA,1597551980
misratah,32.38,15.09,81.36,52,0,4.92,LY,1597551981
abbotsford,49.06,-122.25,73.4,69,5,5.82,CA,1597551874
carutapera,-1.2,-46.02,77.54,84,34,8.05,BR,1597551981
anadyr,64.75,177.48,59.0,58,50,13.42,RU,1597551981
havre-saint-pierre,50.23,-63.6,50.0,93,1,2.24,CA,1597551982
luderitz,-26.65,15.16,54.82,67,0,22.59,NA,1597551982
abrau-dyurso,44.69,37.59,60.8,59,0,11.18,RU,1597551982
panaba,21.28,-88.27,77.05,92,1,5.03,MX,1597551982
oranjemund,-28.55,16.43,51.04,79,1,10.18,NA,1597551982
orahovac,42.4,20.65,60.8,87,40,1.12,XK,1597551983
acarau,-2.89,-40.12,76.82,80,21,15.75,BR,1597551983
taoudenni,22.68,-3.98,99.32,11,0,7.76,ML,1597551787
voznesenskoye,54.89,42.76,52.18,78,0,5.64,RU,1597551983
aykhal,66.0,111.5,60.8,38,0,4.47,RU,1597551983
greeley,40.42,-104.71,75.99,65,0,5.17,US,1597551984
arinos,-15.92,-46.11,66.61,53,0,1.68,BR,1597551984
obo,5.4,26.49,67.71,98,94,2.57,CF,1597551853
grande prairie,55.17,-118.8,62.6,88,75,6.93,CA,1597551736
nouakchott,18.09,-15.98,80.85,76,58,14.12,MR,1597551820
half moon bay,37.46,-122.43,84.2,72,1,4.7,US,1597551821
lorengau,-2.02,147.27,86.16,64,10,7.83,PG,1597551985
boa vista,2.82,-60.67,82.4,74,75,13.87,BR,1597551985
san blas,21.52,-105.27,81.01,83,68,2.64,MX,1597551985
el tigre,8.89,-64.25,76.77,83,18,10.22,VE,1597551985
otaki,-40.76,175.15,54.0,58,22,1.01,NZ,1597551986
yulara,-25.24,130.99,80.6,14,0,12.75,AU,1597551986
tema,5.67,-0.02,75.2,94,20,10.29,GH,1597551986
kupang,-10.17,123.58,91.4,43,20,8.05,ID,1597551986
sobolevo,54.43,31.9,56.5,93,56,5.66,RU,1597551986
maniitsoq,65.42,-52.9,45.54,65,0,8.88,GL,1597551987
hay river,60.82,-115.8,50.0,87,40,5.82,CA,1597551987
pala,9.36,14.9,71.49,95,93,5.01,TD,1597551987
rio gallegos,-51.62,-69.22,33.8,74,59,26.4,AR,1597551922
seddon,-37.81,144.89,57.2,82,75,16.11,AU,1597551988
saint-paul-les-dax,43.73,-1.05,64.4,88,26,3.36,FR,1597551988
ouadda,8.08,22.4,67.86,95,100,2.53,CF,1597551988
biltine,14.53,20.92,77.0,80,32,6.24,TD,1597551988
longyearbyen,78.22,15.64,42.8,87,75,2.24,SJ,1597551988
galle,6.04,80.22,81.84,77,89,9.44,LK,1597551862
saint-augustin,51.23,-58.65,58.41,68,76,7.23,CA,1597551849
tchaourou,8.89,2.6,69.46,98,91,4.54,BJ,1597551989
padang,-0.95,100.35,82.04,70,98,1.86,ID,1597551989
salinopolis,-0.61,-47.36,79.47,82,38,12.5,BR,1597551990
iskandar,41.55,69.7,84.2,25,68,2.24,UZ,1597551990
codrington,-38.27,141.97,56.82,77,0,12.97,AU,1597551990
gornyy,55.12,83.91,60.42,83,96,3.53,RU,1597551990
mehamn,71.04,27.85,48.94,73,48,19.04,NO,1597551990
motupe,-6.15,-79.71,62.01,82,71,1.7,PE,1597551991
novopokrovka,49.84,36.55,53.6,81,34,4.47,UA,1597551991
mount gambier,-37.83,140.77,55.4,76,75,10.29,AU,1597551991
bangui,4.36,18.55,77.0,94,40,3.36,CF,1597551991
ulaanbaatar,47.91,106.88,59.0,93,40,4.47,MN,1597551831
along,28.17,94.77,78.76,88,99,1.95,IN,1597551992
arona,28.1,-16.68,73.0,73,20,11.41,ES,1597551992
san juan,-31.54,-68.54,47.8,43,0,6.2,AR,1597551992
karratha,-20.74,116.85,77.9,53,9,11.21,AU,1597551992
berdigestyakh,62.1,126.7,53.67,46,88,7.02,RU,1597551993
namibe,-15.2,12.15,59.02,89,16,4.34,AO,1597551993
mosquera,4.71,-74.23,48.2,93,20,6.93,CO,1597551844
mahon,39.89,4.27,77.0,83,20,6.93,ES,1597551993
tezu,27.92,96.17,76.87,86,100,1.81,IN,1597551994
tambilil,5.96,124.67,84.61,71,50,5.26,PH,1597551994
acajutla,13.59,-89.83,73.0,96,86,9.01,SV,1597551994
tokmak,47.25,35.71,59.58,53,20,5.48,UA,1597551787
cuamba,-14.8,36.54,60.26,64,3,3.76,MZ,1597551995
punalur,9.0,76.93,86.0,74,40,5.82,IN,1597551995
atambua,-9.11,124.89,86.34,38,5,0.72,ID,1597551771
coari,-4.08,-63.14,81.43,51,99,1.39,BR,1597551995
esmeralda,21.85,-78.12,80.6,94,2,9.17,CU,1597551996
bereda,43.27,-7.54,57.0,93,77,7.0,ES,1597551996
eregli,37.51,34.05,58.86,47,0,1.45,TR,1597551996
wajid,3.81,43.25,71.49,70,26,19.06,SO,1597551996
inta,66.03,60.17,56.75,56,86,4.85,RU,1597551996
karasjok,69.47,25.51,44.6,75,98,44.96,NO,1597551997
nuristan,35.3,70.83,57.79,36,0,2.55,AF,1597551997
taywarah,33.35,64.42,71.73,19,0,5.75,AF,1597551997
esperance,-33.87,121.9,62.6,59,40,28.86,AU,1597551997
souillac,-20.52,57.52,73.4,60,40,17.22,MU,1597551796
tongren,27.72,109.19,88.57,57,11,9.1,CN,1597551998
canyon lake,29.88,-98.26,88.0,66,50,15.99,US,1597551998
road town,18.42,-64.62,82.0,93,1,1.01,VG,1597551998
zhangye,38.93,100.45,69.69,39,100,15.43,CN,1597551999
henties bay,-22.12,14.28,46.99,88,0,2.26,NA,1597551999
mana,5.66,-53.78,78.48,83,77,5.77,GF,1597551999
lokot,52.56,34.58,54.36,87,87,5.82,RU,1597551999
cam ranh,11.92,109.16,91.4,66,0,9.17,VN,1597551999
ixtapa,20.7,-105.2,84.2,79,75,3.36,MX,1597551824
launceston,-41.45,147.17,57.99,71,75,23.04,AU,1597552000
aswan,24.09,32.91,84.25,22,0,9.73,EG,1597552000
guatire,10.48,-66.54,73.99,85,98,2.3,VE,1597552000
galeana,24.83,-100.07,63.84,67,24,2.15,MX,1597552001
cooma,-36.23,149.13,51.8,62,90,29.97,AU,1597552001
vao,-22.67,167.48,70.2,77,9,17.31,NC,1597552001
komsomolskiy,40.43,71.72,87.8,18,3,4.7,UZ,1597552001
sao joao da barra,-21.64,-41.05,71.92,88,22,9.53,BR,1597551759
alice springs,-23.7,133.88,82.4,15,0,17.22,AU,1597551722
isernia,41.6,14.24,72.0,88,0,3.0,IT,1597552002
port-gentil,-0.72,8.78,74.82,87,96,11.77,GA,1597552002
churapcha,62.0,132.43,64.8,31,13,6.13,RU,1597552002
marzuq,14.4,46.47,79.99,59,78,5.44,YE,1597552002
mattawa,46.74,-119.9,80.6,56,1,3.36,US,1597552003
normal,40.51,-88.99,71.6,78,90,11.41,US,1597551891
muli,2.92,73.57,83.07,66,97,2.98,MV,1597552003
lebyazhye,55.27,66.49,61.3,87,100,8.7,RU,1597552003
macapa,0.04,-51.07,82.4,88,40,8.05,BR,1597552003
ningbo,29.88,121.55,96.8,47,0,13.42,CN,1597552004
pakokku,21.33,95.1,80.74,75,100,19.84,MM,1597552004
mweka,-4.85,21.57,71.92,73,78,2.46,CD,1597552004
sabang,5.89,95.32,83.55,72,11,6.67,ID,1597552004
kankan,10.39,-9.31,68.83,95,99,3.96,GN,1597552005
maldonado,-34.67,-54.92,51.01,43,0,16.11,UY,1597552005
monze,-16.28,27.48,53.87,55,24,2.73,ZM,1597552005
adrar,20.5,-10.07,98.91,17,74,7.67,MR,1597551826
conde,-7.26,-34.91,73.4,94,75,2.24,BR,1597552005
buta,2.79,24.73,69.87,98,100,2.17,CD,1597552006
coquimbo,-29.95,-71.34,46.4,87,0,4.7,CL,1597551802
kirakira,-10.45,161.92,82.24,77,72,3.85,SB,1597552006
batagay,67.63,134.63,43.93,59,99,6.17,RU,1597552007
poum,-20.23,164.02,72.7,86,100,19.37,NC,1597552007
bluefields,12.01,-83.76,78.01,91,100,2.42,NI,1597552007
luganville,-15.53,167.17,78.8,78,75,11.41,VU,1597552007
port lincoln,-34.73,135.87,57.15,59,86,8.95,AU,1597552008
mehnagar,25.88,83.12,86.0,74,75,5.82,IN,1597552008
shalakusha,62.22,40.25,56.48,90,85,7.14,RU,1597552008
sarkand,45.41,79.92,80.08,22,0,7.4,KZ,1597552008
sembe,1.65,14.58,70.52,94,100,4.27,CG,1597552008
luanda,-8.84,13.23,69.8,94,75,4.7,AO,1597551802
awjilah,29.11,21.29,73.63,46,0,6.98,LY,1597552009
irbit,57.67,63.07,51.85,87,100,14.92,RU,1597552009
basoko,1.24,23.62,72.07,94,100,3.62,CD,1597552009
kerema,-7.96,145.78,79.5,78,63,8.12,PG,1597552009
vodyane,47.49,34.49,60.01,61,20,5.35,UA,1597552010
nome,64.5,-165.41,66.0,76,1,17.22,US,1597551792
leopold,-38.18,144.47,61.0,77,40,17.22,AU,1597552010
berbera,10.44,45.01,89.44,45,97,16.75,SO,1597552010
clearlake,38.96,-122.63,87.01,35,38,4.07,US,1597552011
kantang,7.41,99.52,89.6,66,20,3.36,TH,1597552011
kurilsk,45.23,147.88,59.23,92,100,7.56,RU,1597552011
cabedelo,-6.98,-34.83,73.4,94,75,2.24,BR,1597552011
itarema,-2.92,-39.92,77.11,78,21,15.28,BR,1597551808
bilma,18.69,12.92,85.53,17,67,5.5,NE,1597552012
iskateley,67.68,53.15,54.16,60,100,20.2,RU,1597552012
hyeres,43.12,6.12,69.01,88,0,2.24,FR,1597552012
dudinka,69.41,86.18,68.0,42,92,20.13,RU,1597552012
muscle shoals,34.74,-87.67,78.8,74,1,5.61,US,1597551908
troitsko-pechorsk,62.71,56.2,54.79,61,57,4.43,RU,1597552013
acapulco,16.86,-99.89,81.21,76,0,2.37,MX,1597551828
hornepayne,49.21,-84.77,56.03,72,17,4.68,CA,1597552014
ballater,57.05,-3.04,52.0,97,100,1.99,GB,1597552014
abu zabad,12.35,29.25,74.71,79,73,8.21,SD,1597552014
kampong cham,11.99,105.46,87.84,64,98,3.31,KH,1597552014
banepa,27.63,85.52,77.0,83,75,2.24,NP,1597552014
lanigan,51.85,-105.03,62.24,64,77,8.75,CA,1597552015
yerbogachen,61.28,108.01,59.49,47,10,7.16,RU,1597552015
bouca,6.51,18.27,70.09,96,100,1.07,CF,1597552015
hovd,48.01,91.64,54.1,69,100,9.01,MN,1597551899
bukene,-4.23,32.88,58.5,66,54,4.97,TZ,1597552016
ailigandi,9.23,-78.02,78.89,81,100,4.61,PA,1597552016
komsomolets,53.75,62.07,60.69,83,96,9.57,KZ,1597552016
varhaug,58.61,5.65,59.0,99,2,2.89,NO,1597552016
sokoni,-6.43,39.55,75.2,83,40,9.17,TZ,1597552016
karpogory,64.0,44.45,56.8,79,100,10.0,RU,1597552017
college,64.86,-147.8,69.8,52,40,3.36,US,1597552017
kaputa,-8.47,29.66,64.06,51,18,1.9,ZM,1597552017
port augusta,-32.5,137.77,59.0,82,55,10.29,AU,1597552017
san policarpo,12.18,125.51,83.44,77,76,7.47,PH,1597552017
hofn,64.25,-15.21,52.36,80,100,6.64,IS,1597552018
quesnel,53.0,-122.5,60.8,93,1,2.24,CA,1597552018
tamandare,-8.76,-35.1,73.85,89,84,6.8,BR,1597552018
mumford,5.26,-0.76,72.9,93,24,7.81,GH,1597552018
umm kaddadah,13.6,26.69,77.99,71,100,14.92,SD,1597552018
alta floresta,-9.88,-56.09,79.79,39,79,0.47,BR,1597552019
marfino,55.7,37.38,59.0,93,97,4.47,RU,1597552019
mardin,37.31,40.74,87.8,23,0,13.87,TR,1597552019
ouango,4.31,22.56,71.37,96,100,1.43,CF,1597552019
vardo,70.37,31.11,47.64,76,98,18.88,NO,1597551787
vilhena,-12.74,-60.15,73.51,40,52,3.65,BR,1597552020
hami,42.8,93.45,82.02,18,0,10.07,CN,1597552020
planadas,3.2,-75.65,67.3,76,98,3.4,CO,1597552020
makakilo city,21.35,-158.09,84.2,54,1,9.17,US,1597551812
olhao,37.03,-7.84,66.2,72,0,11.41,PT,1597552021
wenling,28.37,121.36,91.0,47,1,10.42,CN,1597552021
acheng,45.55,126.98,82.4,54,40,6.71,CN,1597552022
champerico,14.3,-91.92,79.41,85,79,9.04,GT,1597552022
leshukonskoye,64.9,45.76,55.78,75,100,10.85,RU,1597552022
bagdarin,54.43,113.6,56.1,75,95,2.82,RU,1597552023
gazanjyk,39.24,55.52,76.37,45,45,7.18,TM,1597552023
challans,46.84,-1.87,59.0,93,90,2.24,FR,1597552024
vostok,46.49,135.88,73.29,53,0,11.32,RU,1597552024
margate,51.38,1.39,68.0,99,89,1.99,GB,1597551819
uyemskiy,64.47,40.85,59.0,93,90,6.71,RU,1597552025
yenagoa,4.92,6.26,73.47,91,0,3.74,NG,1597551733
miracema do tocantins,-9.56,-48.4,77.47,36,70,3.0,BR,1597552026
bud,39.45,-86.18,75.0,94,75,4.07,US,1597552026
shingu,33.73,135.98,93.2,56,20,18.34,JP,1597552026
port moresby,-9.44,147.18,87.8,45,20,11.41,PG,1597552027
gbarnga,7.0,-9.47,69.49,98,94,3.22,LR,1597552027
zambezi,-13.54,23.1,51.93,43,53,3.91,ZM,1597552027
ekhabi,53.51,142.97,59.38,78,82,16.82,RU,1597552027
maneadero,31.72,-116.57,71.01,89,99,1.01,MX,1597551865
aksarka,66.56,67.8,51.67,62,51,6.69,RU,1597552028
paciran,-6.88,112.38,86.13,63,17,5.77,ID,1597552028
dobryanka,58.46,56.42,55.4,76,75,11.18,RU,1597552028
tura,25.52,90.22,82.38,78,69,7.7,IN,1597552028
kajaani,64.23,27.73,59.0,67,0,19.46,FI,1597552029
santiago del estero,-27.8,-64.26,51.89,42,20,5.79,AR,1597552029
vanavara,60.34,102.28,60.85,41,4,7.87,RU,1597552029
kalmunai,7.42,81.82,85.17,60,80,2.64,LK,1597552029
abnub,27.27,31.15,75.2,50,0,8.05,EG,1597552030
robertsport,6.75,-11.37,76.14,86,100,16.93,LR,1597552030
tazovskiy,67.47,78.7,50.95,95,100,10.94,RU,1597552030
oxapampa,-10.58,-75.4,58.46,87,50,2.57,PE,1597552030
te anau,-45.42,167.72,45.93,69,87,0.69,NZ,1597552031
meulaboh,4.14,96.13,85.78,67,49,4.61,ID,1597552031
holme,56.11,10.17,62.01,93,90,3.02,DK,1597552031
dongzhen,22.38,110.94,90.0,51,18,7.61,CN,1597552031
palapag,12.55,125.11,84.61,79,46,3.6,PH,1597552031
santa cruz del sur,20.71,-78.0,79.38,88,27,14.47,CU,1597552032
naze,28.37,129.48,89.6,70,40,9.17,JP,1597552032
luena,-11.78,19.92,51.15,43,10,2.66,AO,1597552032
iowa city,41.66,-91.53,66.0,77,1,4.7,US,1597551782
nisporeni,47.08,28.18,68.0,68,55,5.82,MD,1597552033
caldwell,43.66,-116.69,80.6,30,1,5.12,US,1597551975
el bagre,7.59,-74.81,75.24,94,100,0.54,CO,1597552033
mangan,27.52,88.53,84.94,49,79,4.88,IN,1597552034
zhukovka,53.53,33.73,57.2,87,75,4.47,RU,1597552034
novyy urengoy,66.08,76.63,51.13,88,100,12.12,RU,1597551958
skagen,57.72,10.58,66.0,88,0,3.0,DK,1597552034
sao jose da coroa grande,-8.9,-35.15,73.87,89,78,6.78,BR,1597552034
kenai,60.55,-151.26,75.2,33,1,12.75,US,1597552035
yagodnoye,62.55,149.67,62.58,36,3,8.46,RU,1597552035
ponta delgada,37.73,-25.67,73.4,83,40,12.75,PT,1597552035
bojnurd,37.47,57.33,66.2,72,75,6.93,IR,1597551826
vestmannaeyjar,63.44,-20.27,52.63,93,70,8.34,IS,1597552036
la paz,-16.5,-68.15,39.2,86,40,4.7,BO,1597551875
eyl,7.98,49.82,76.82,65,75,27.27,SO,1597552036
maykor,59.01,55.88,51.55,85,100,9.17,RU,1597552036
aleysk,52.49,82.78,67.69,61,0,7.05,RU,1597552037
jadu,31.95,12.03,75.88,37,0,7.0,LY,1597552037
emilio carranza,19.97,-96.61,78.87,77,63,4.23,MX,1597552037
flinders,-34.58,150.86,62.01,59,91,15.99,AU,1597552037
rupert,42.62,-113.68,69.8,43,1,9.17,US,1597552038
hervey bay,-25.3,152.85,75.2,31,0,14.99,AU,1597552038
rio grande,-32.03,-52.1,50.0,74,0,10.13,BR,1597551804
puerto madero,14.72,-92.42,79.7,84,89,11.36,MX,1597552038
oranjestad,12.52,-70.03,84.2,74,20,14.99,AW,1597551926
turukhansk,65.82,87.98,70.07,40,6,15.14,RU,1597551867
dagda,56.1,27.54,57.61,89,1,4.99,LV,1597552039
okhotsk,59.38,143.3,60.48,75,100,6.06,RU,1597551815
byron bay,-28.65,153.62,73.0,40,0,17.22,AU,1597552040
nuuk,64.18,-51.72,42.8,81,0,10.29,GL,1597552041
colombo,6.93,79.85,82.4,83,75,5.82,LK,1597552041
okato,-39.2,173.88,55.0,46,0,1.01,NZ,1597552041
bonthe,7.53,-12.51,75.24,93,100,12.26,SL,1597552041
sakaiminato,35.55,133.23,93.2,49,20,17.22,JP,1597552042
nacala,-14.54,40.67,66.85,91,17,4.18,MZ,1597552042
fairbanks,64.84,-147.72,69.8,37,20,9.17,US,1597551756
tiarei,-17.53,-149.33,80.6,65,75,13.87,PF,1597552042
